@relation '01_matriz_BA04_t2yt5_26atributos-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 5.156.402 numeric
@attribute 5.168.531 numeric
@attribute 8.114.116 numeric
@attribute 8165.25 numeric
@attribute 9.224.067 numeric
@attribute 9.427.083 numeric
@attribute 9.591.046 numeric
@attribute 10.283.771 numeric
@attribute 13.804.314 numeric
@attribute estado numeric

@data

0,0,4.94,9.42,0,0.14,0,0,0,1
0.38,0,12.36,29.78,0.53,0.17,0.2,0,0,1
0.55,0,14.15,32.75,0,0,0.33,0,0,1
0,0,10.43,23.66,0,0,0.43,0,0,1
0,0,8.77,18.42,0,0,0,0,0,1
0,0,21.1,28.18,0,0.34,0,0,0,1
0,0,6.89,14.94,0,0,0.2,0.11,0.05,1
0,0.46,10.43,23.17,0,0.27,0.3,0,0,1
0,0,13.76,22.33,0,0,0.74,0,0,1
0,0,15.31,30.42,1.15,0.34,0.15,0,0,1
0,0,10.3,27.38,0,0,0,0,0,1
0,0,17.06,26.18,0,0,0,0,0,1
0,0,17.05,27.36,0.55,0.4,0,0,0,1
0,0.34,15.13,30.89,1.28,0,0,0,0,1
0.45,0,8.85,17.14,0.19,0.45,0,0,0,1
0,0,4.5,8.5,0,0,0.53,0,0,1
0,0,0,11.51,0,0,0.34,0,0,1
0.46,0,8.1,18.59,0.63,0.26,0,0,0,1
0,0,6.35,13.64,0,0,0,0,0,0
1.08,0,14.84,34.67,1.79,0,0.14,0,0,0
0,0,15.99,36.72,0,0.2,0,0,0,0
0,0,5.95,12.33,0,0,0,0,0,0
0,0,5.07,10.99,0,0,0,0,0,0
0,0,13.67,36.52,0,0,0,0,0,0
0,0,14.36,25.29,0,0,0,0,0.06,0
0,0,5.72,12.68,0,0.41,0.55,0,0,1
0,0,17.57,37.11,0,0,1.23,0,0,1
1.27,0,4.67,8.04,0,0.13,0,0,0.07,0
0,0,15.77,30.22,0,0,0,0,0.21,0
0,0,12.03,26.39,0,0,0,0,0.06,0
0,0,11.07,26.27,0,0,0.76,0,0,0
0.66,0,10.92,22.82,0,0,0.75,0,0,0
0,0,21.21,44.04,0,0,0,0,0,0
0,0,7.12,14.84,0.26,0,0,0,0,1
1.46,0,7.06,13.77,0,0,0,0,0,1
0,0.86,8.17,19.54,0,0,0,0,0,1
5.254,0,0,100,0,0,0,0,0,0
3.113,0,0,100,0,0,0,0,0,1
0,0,0,100,0,0,0,0.592,0,1
0,0,0,100,0,0,0,0,0,1
0,0,0,74.685,0,0,0,0,0,1
0,0,0,100,0,0,0,0,0,1
0,0.879,0,100,0,0,0,0,0,0
0,0.315,0,100,0,0,0,0.587,0,0
0.862,1.409,0,100,0,0,0,0.406,0,0
0,0,0,100,0,0,0,0.72,0,0
0,0,0,100,0,0,0,0,0,1
0,0,0,100,0,0,0,0.927,0,0
0,0,0,100,0,0,0,0.261,0,1
2.573,3.94,0,48.147,0,0,0,0.315,0,1
1.715,0,0,100,0,0,0,0,0,1
1.199,0,0,100,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0
0,0,0,100,0,0,0,1.039,0,0
3.334,0,0,100,0,0,0,1.004,0,0
0.384,0,0,100,0,0,0,0,0,0
0,0,36.365,100,0,0,0,0,0,1
1.721,0,0,51.866,0,0,0,0,0,1
0,0,0,100,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,1
0,0,0,100,0,0,0,0,0,1
0,0.569,0,100,0,0,0,0,0,0
0,0,0,60.017,0,0,0,0.774,0,0
0,0,38.682,100,0,0,0,0.487,0,0
0,0,0,100,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0
4.99,0,0,75.801,0,0,0,0.49,0,1
3.008,0,0,100,0,0,0,0,0,1
0,2.459,0,100,0,0,0,0,0,1
5.675,0,0,100,0,0,0,0.392,0,0
0,0,0,100,0,0,0,0.582,0,0
4.882,0,0,57.581,0,0,0,0,0,0
3.043,2.299,45.14,92.071,0,0,0,0,0,0
0,0,0,100,0,0,0,0.416,0,0
18.347,0,0,100,0,0,0,0.387,0,0
3.826,0,0,100,0,0,0,0,0,0
0,0,0,76.993,0,0,0,0,0,1
0,2.611,38.693,100,0,0,0,0,0.081,0
1.134,1.166,0,100,0,0,0,0.59,0,0
4.67,0,0,81.169,0,0,0,0,0,1
0,1.793,34.218,100,0,0,0,0,0,1
1.981,2.357,36.433,76.291,0,0,0,0,0,0
1.759,0,39.098,92.527,0,0,0,0.445,0,0
2.495,0,0,100,0,0,0,0,0,0
2.689,0,42.959,100,0,0,0,0.569,0,0
0,0,39.19,81.212,0,0,0,0,0.085,0
0,0,0,100,0,0,0,0,0,1
4.515,2.233,0,100,0,0,0,0,0,1
0,0,0,60.159,0,0,0,0,0,1
0,13.487,0,100,0,0,0,0,0,1
3.167,0,0,95.939,0,0,0,0.852,0,1
3.901,0,0,100,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0.107,0
6.909,0,0,100,0,0,0,0,0,0
0,0,37.509,100,0,0,0,0,0,0
