x,y,z
5502.589,9685.315,18.633
5630.006,2265.317,4.358
5709.714,2609.09,5.019
5736.22,2440.502,4.695
5756.967,5734.678,11.032
5784.986,2891.643,5.563
6064.171,8253.889,15.879
6191.792,3008.859,5.788
6285.001,13627.509,26.217
6706.568,20598.137,39.627
6728.12,13575.282,26.116
6745.48,9962.077,19.165
6777.169,3331.459,6.409
6807.608,2317.639,4.459
6931.297,51980.111,100.0
7046.576,2500.62,4.811
7190.43,2237.704,4.305
7358.645,3387.036,6.516
7657.407,7927.455,15.251
7689.052,25666.527,49.378
7779.017,7847.314,15.097
7907.607,12378.917,23.815
7920.974,23562.953,45.331
8117.1,3237.805,6.229
8167.659,12072.025,23.224
8790.124,9141.592,17.587
8917.643,3914.894,7.532
9562.621,4666.887,8.978
13382.494,35144.765,67.612
13425.334,21024.493,40.447
13524.734,3157.599,6.075
